City,Latitude,Longitude,Max Temp (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Country,Date
namatanai,-3.6692,152.4064,79.41199999999995,82,32,3.17,PG,1663247074
cape town,-33.9249,18.4241,71.38399999999999,50,100,3.58,ZA,1663247075
hermanus,-34.4092,19.2504,69.18800000000005,79,99,4.0,ZA,1663247076
toamasina,-18.1443,49.3958,73.70600000000003,68,80,4.26,MG,1663247077
kapaa,22.0947,-159.3246,71.726,79,40,2.57,US,1663247078
tuktoyaktuk,69.4454,-133.0342,36.89600000000005,71,100,8.5,CA,1663247079
mar del plata,-38.0055,-57.5426,57.25399999999995,77,0,5.36,AR,1663247080
hobart,-42.8826,147.3257,51.27799999999996,90,0,0.0,AU,1663246992
ribeira grande,37.821,-25.5148,79.30399999999995,90,75,3.6,PT,1663247082
saskylakh,71.9543,114.1198,32.14399999999997,97,98,2.73,RU,1663247083
bayburt,40.2603,40.228,71.18599999999998,19,13,2.31,TR,1663247084
mahebourg,-20.406,57.7034,74.71400000000003,74,0,7.93,MU,1663247085
illoqqortoormiut,70.4856,-21.9629,35.311999999999955,80,17,1.58,GL,1663247086
saldanha,-33.0277,17.9176,61.88000000000004,79,100,6.94,ZA,1663247088
ushuaia,-54.8019,-68.303,44.492,42,20,8.75,AR,1663247089
arani,12.6713,79.2818,86.21600000000001,55,100,2.22,IN,1663247090
luderitz,-26.642,15.1639,73.14800000000002,48,6,2.89,NA,1663247091
dikson,73.5077,80.531,36.806000000000026,96,33,7.91,RU,1663247092
port elizabeth,-33.9608,25.6022,70.01600000000002,79,13,4.47,ZA,1663247093
airai,7.3642,134.5361,80.97799999999997,83,75,2.57,PW,1663247094
abu kamal,34.4653,40.9082,94.424,20,0,5.01,SY,1663247095
sao filipe,14.8952,-24.4946,79.73599999999996,85,89,4.78,CV,1663247095
praia,14.9331,-23.5133,82.27400000000002,80,55,5.95,CV,1663247096
mataura,-46.194,168.8655,46.742,96,100,3.32,NZ,1663247097
bardiyah,31.758,25.0792,79.358,52,0,5.15,LY,1663247098
vaini,-21.1935,-175.1752,72.12200000000004,94,75,1.54,TO,1663247099
condega,13.365,-86.3959,70.60999999999999,95,72,1.48,NI,1663247100
butaritari,3.1167,172.8,81.392,78,42,5.36,KI,1663247101
thompson,55.7451,-97.8509,43.25,89,0,1.71,CA,1663247101
strezhevoy,60.7236,77.5809,49.58599999999997,78,52,2.07,RU,1663247102
havre-saint-pierre,50.2418,-63.5986,48.83000000000004,93,100,10.29,CA,1663247103
cairns,-16.9203,145.771,75.41600000000001,69,100,2.57,AU,1663247104
samarai,-10.612,150.6641,80.78000000000004,84,38,5.9,PG,1663247105
sorland,67.6636,12.6927,53.851999999999975,82,0,9.26,NO,1663247106
zhigalovo,54.813,105.1528,47.73200000000001,70,100,1.32,RU,1663247107
leningradskiy,69.3683,178.4167,35.725999999999985,99,100,1.56,RU,1663247108
laguna,33.5427,-117.7854,69.35,86,8,0.45,US,1663247109
yellowknife,62.454,-114.3718,48.48800000000004,81,30,2.68,CA,1663247109
asau,-13.5191,-172.6294,81.03200000000001,79,49,9.89,WS,1663247111
punta arenas,-53.1634,-70.9078,39.758,70,75,7.72,CL,1663247112
